State,Region,,State,Region,Points (predicted)
Alabama,South,,,,
Alaska,West,,,,
Arizona,West,,,,
Arkansas,South,,,,
California,West,,,,
Colorado,West,,,,
Connecticut,Northeast,,,,
Delaware,Northeast,,,,
Florida,South,,,,
Georgia,South,,,,
Hawaii,West,,,,
Idaho,West,,,,
Illinois,Midwest,,,,
Indiana,Midwest,,,,
Iowa,Midwest,,,,
Kansas,Midwest,,,,
Kentucky,South,,Tennessee,South,65
Louisiana,South,,,,
Maine,Northeast,,,,
Maryland,Northeast,,,,
Massachusetts,Northeast,,,,
Michigan,Midwest,,,,
Minnesota,Midwest,,,,
Mississippi,South,,Mississippi,South,35
Missouri,Midwest,,,,
Montana,West,,,,
Nebraska,Midwest,,West Virginia,South,32
Nevada,West,,,,
New Hampshire,Northeast,,,,
New Jersey,Northeast,,,,
New Mexico,West,,Arkansas,South,20
New York,Northeast,,,,
North Carolina,South,,,,
North Dakota,Midwest,,,,
Ohio,Midwest,,,,
Oklahoma,South,,,,
Oregon,West,,,,
Pennsylvania,Northeast,,New Mexico,West,9
Rhode Island,Northeast,,,,
South Carolina,South,,Nebraska,Midwest,7
South Dakota,Midwest,,North Dakota,Midwest,4
Tennessee,South,,,,
Texas,South,,,,
Utah,West,,,,
Vermont,Northeast,,,,
Virginia,South,,,,
Washington,West,,,,
West Virginia,South,,,,
Wisconsin,Midwest,,,,
Wyoming,West,,,,
