Rank,Change,Prospect,College,P1,Date
1,--,Tua Tagovailoa,Alabama,QB,05/20/19
2,--,Chase Young,Ohio State,EDGE,05/20/19
3,--,Jerry Jeudy,Alabama,WRF,05/20/19
4,--,Derrick Brown,Auburn,DL1T,05/20/19
5,--,A.J. Epenesa,Iowa,EDGE,05/20/19
6,--,Grant Delpit,LSU,S,05/20/19
7,--,Andrew Thomas,Georgia,OT,05/20/19
8,--,Walker Little,Stanford,OT,05/20/19
9,--,Justin Herbert,Oregon,QB,05/20/19
10,--,J.K. Dobbins,Ohio State,RBF,05/20/19
11,--,Isaiah Simmons,Clemson,S,05/20/19
12,--,Javon Kinlaw,South Carolina,DL3T,05/20/19
13,--,Raekwon Davis,Alabama,DL3T,05/20/19
14,--,Xavier McKinney,Alabama,S,05/20/19
15,--,C.J. Henderson,Florida,CB,05/20/19
16,--,Travis Etienne,Clemson,RBF,05/20/19
17,--,Tristan Wirfs,Iowa,OT,05/20/19
18,--,Albert Okwuegbunam,Missouri,TE,05/20/19
19,--,Jake Fromm,Georgia,QB,05/20/19
20,--,Najee Harris,Alabama,RBF,05/20/19
21,--,Tee Higgins,Clemson,WRF,05/20/19
22,--,Laviska Shenault,Colorado,WRF,05/20/19
23,--,Parker Braun,Texas,OT,05/20/19
24,--,Kenny Willekes,Michigan State,EDGE,05/20/19
25,--,Jeffrey Okudah,Ohio State,CB,05/20/19
26,--,Jake Breeland,Oregon,TE,05/20/19
27,--,Kristian Fulton,LSU,CB,05/20/19
28,--,CeeDee Lamb,Oklahoma,WRF,05/20/19
29,--,Jacob Eason,Washington,QB,05/20/19
30,--,Mekhi Becton,Louisville,OT,05/20/19
31,--,Tyler Biadasz,Wisconsin,OG,05/20/19
32,--,Isaiahh Loudermilk,Wisconsin,EDGE,05/20/19
33,--,Terrell Lewis,Alabama,EDGE,05/20/19
34,--,Curtis Weaver,Boise State,EDGE,05/20/19
35,--,Trey Adams,Washington,OT,05/20/19
36,--,Anfernee Jennings,Alabama,EDGE,05/20/19
37,--,Tre'Vour Wallace-Simms,Missouri,OG,05/20/19
38,--,Yetur Gross-Matos,Penn State,EDGE,05/20/19
39,--,Jonathan Taylor,Wisconsin,RBF,05/20/19
40,--,Tommy Kraemer,Notre Dame,OG,05/20/19
41,--,Nick Coe,Auburn,DL5T,05/20/19
42,--,Joe Bachie,Michigan State,OLB,05/20/19
43,--,Jalen Thompson,Washington State,S,05/20/19
44,--,K.J. Costello,Stanford,QB,05/20/19
45,--,Trevon Diggs,Alabama,CB,05/20/19
46,--,Shyheim Carter,Alabama,CB,05/20/19
47,--,Grant Calcaterra,Oklahoma,TE,05/20/19
48,--,Dylan Moses,Alabama,OLB,05/20/19
49,--,J.R. Reed,Georgia,S,05/20/19
50,--,A.J. Dillon,Boston College,RBF,05/20/19
51,--,Collin Johnson,Texas,WRF,05/20/19
52,--,Malik Harrison,Ohio State,ILB,05/20/19
53,--,Mike Hampton,South Florida,CB,05/20/19
54,--,Jalen Reagor,TCU,WRS,05/20/19
55,--,A.J. Terrell,Clemson,CB,05/20/19
56,--,Kenneth Murray,Oklahoma,OLB,05/20/19
57,--,Khalid Kareem,Notre Dame,EDGE,05/20/19
58,--,Bryce Hall,Virginia,CB,05/20/19
59,--,Chase Lucas,Arizona State,CB,05/20/19
60,--,T.J. McCoy,Louisville,OC,05/20/19
61,--,Colby Parkinson,Stanford,TE,05/20/19
62,--,Ben Bredeson,Michigan,OG,05/20/19
63,--,Raequan Williams,Michigan State,DL3T,05/20/19
64,--,Alaric Jackson,Iowa,OT,05/20/19
65,--,Shaquille Quarterman,Miami (FL),ILB,05/20/19
66,--,Calvin Throckmorton,Oregon,OT,05/20/19
67,--,T.J. Carter,Memphis,CB,05/20/19
68,--,Michael Pinckney,Miami (FL),OLB,05/20/19
69,--,Marlon Davidson,Auburn,EDGE,05/20/19
70,--,Shane Lemieux,Oregon,OG,05/20/19
71,--,D'Andre Swift,Georgia,RBF,05/20/19
72,--,Saahdiq Charles,LSU,OT,05/20/19
73,--,Paddy Fisher,Northwestern,OLB,05/20/19
74,--,Prince Tega Wanogho,Auburn,OT,05/20/19
75,--,Marvin Wilson,Florida State,DL1T,05/20/19
76,--,Henry Ruggs III,Alabama,WRF,05/20/19
77,--,Mike Panasiuk,Michigan State,DL3T,05/20/19
78,--,Denzel Mims,Baylor,WRF,05/20/19
79,--,Jabari Zuniga,Florida,DL5T,05/20/19
80,--,Lavert Hill,Michigan,CB,05/20/19
81,--,Solomon Kindley,Georgia,OG,05/20/19
82,--,DeMarkus Acy,Missouri,CB,05/20/19
83,--,Carter Coughlin,Minnesota,ILB,05/20/19
84,--,Jordan Fuller,Ohio State,S,05/20/19
85,--,Matt Hennessy,Temple,OC,05/20/19
86,--,Tyler Vaughns,USC,WRF,05/20/19
87,--,Zach Robertson,Arizona State,OT,05/20/19
88,--,Kenny Cooper,Georgia Tech,OC,05/20/19
89,--,Jordan Elliott,Missouri,DL3T,05/20/19
90,--,K'Lavon Chaisson,LSU,EDGE,05/20/19
91,--,Lucas Niang,TCU,OT,05/20/19
92,--,Shaq Smith,Clemson,ILB,05/20/19
93,--,Essang Bassey,Wake Forest,CB,05/20/19
94,--,Scott Lashley,Alabama,OT,05/20/19
95,--,Alohi Gilman,Notre Dame,S,05/20/19
96,--,Christian Rector,USC,EDGE,05/20/19
97,--,Alex Leatherwood,Alabama,OT,05/20/19
98,--,Troy Dye,Oregon,ILB,05/20/19
99,--,Rashard Lawrence,LSU,DL3T,05/20/19
100,--,David Reese III,Florida,ILB,05/20/19
101,--,Lorenzo Neal,Purdue,DL3T,05/20/19
102,--,Damon Arnette,Ohio State,CB,05/20/19
